base_capture_points	base_defense_points	base_xp	battles	big_image	class	damage	damage_blocked	damage_received	direct_hits	distance_traveled	frags	hit_rate	image	isPrem	life_time	name	nation	pen_rate	penetrations	player_winrate	player_wn8	potential_damage_received	shots_fired	sniper_damage	spots	spotting_assist	survival	tank_id	tier	tracking_assist	winrate	winrate_differential	wn8	wnx
0.59	0.2	549	332162	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R230_Object_432U.png	MT	1868	1023	1946	6.25	1509	0.72	74.11	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R230_Object_432U.png	False	296	Obj. 432U	USSR	67.01	4.19	50.47	1466	2932	8.44	366	1.11	518	27.22	36609	11	58	49.47	-1	1324	1265
0.07	0.26	418	328863	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A37_M40M43.png	SPG	919	2	241	1.84	381	0.52	29.13	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A37_M40M43.png	False	359	M40/M43	USA	9.32	0.17	49.85	1192	266	6.31	869	0.02	16	40.68	7457	8	25	49.84	-0.01	888	698
0.41	0.25	525	328387	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F75_Char_de_25t.png	MT	1534	10	1547	6.15	1659	0.9	74.73	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F75_Char_de_25t.png	False	266	B-C 25 t AP	France	77.29	4.75	49.35	1292	1483	8.23	468	1.33	439	21.41	5697	9	54	49.41	0.06	1571	1430
0.49	0.21	561	327760	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F64_AMX_50Fosh_B.png	TD	2177	536	1647	8.12	1323	0.98	76.67	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F64_AMX_50Fosh_B.png	False	291	Foch B	France	71.43	5.8	52.84	1673	2138	10.59	680	0.67	279	28.08	17729	10	91	54.03	1.19	1640	1776
1.21	0.17	460	326670	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G57_PzVI_Tiger_P.png	HT	905	554	1418	6.01	1033	0.62	71.32	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G57_PzVI_Tiger_P.png	False	276	Tiger (P)	Germany	67.77	4.07	47.91	947	1964	8.42	128	0.75	215	25.26	10769	7	34	48.97	1.06	1093	1042
1.09	0.19	498	326448	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB140_FV224_Chopper.png	HT	1059	473	1194	6.75	1103	0.73	71.03	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB140_FV224_Chopper.png	False	281	Chopper	UK	72.51	4.89	49.14	1149	1653	9.5	114	0.81	216	27.12	22865	7	32	50.43	1.29	1198	1254
0.34	0.32	609	326075	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F136_AMX_67_Imbattable.png	HT	2847	146	2216	9.46	1634	1.15	81.66	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F136_AMX_67_Imbattable.png	False	307	Imbattable	France	76.38	7.23	53.25	1986	2307	11.59	705	0.95	318	28.83	33345	11	106	49.45	-3.8	1868	1740
0.8	0.15	537	325314	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/italy-It23_CC_3.png	TD	1853	1189	1778	6.16	1142	0.7	77.29	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/italy-It23_CC_3.png	False	305	Minotauro	Italy	61.27	3.78	49.98	1276	2945	7.97	334	0.63	335	30.13	5281	10	59	50.04	0.06	1171	1319
0.3	0.2	501	323685	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/czech-Cz34_Vz_71_Tesak.png	LT	1158	8	1572	108.49	1710	0.59	61.38	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/czech-Cz34_Vz_71_Tesak.png	False	224	Tesák	Czech	60.84	66	51.37	1520	1460	176.74	173	2.43	913	15.34	6769	10	28	46.86	-4.51	1330	1472
0.01	0.12	399	321402	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G94_GW_Tiger_P.png	SPG	837	7	281	1.69	263	0.48	28.62	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G94_GW_Tiger_P.png	False	345	G.W. Tiger P	Germany	9.01	0.15	48.27	932	316	5.92	799	0.02	15	37.54	15377	8	24	48.85	0.58	858	602
0.77	0.18	507	316782	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R96_Object_430.png	MT	1312	605	1617	5.26	1435	0.69	69.14	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R96_Object_430.png	False	290	Obj. 430	USSR	68.68	3.61	48.86	1149	2214	7.6	253	0.99	418	25.45	21505	9	50	48.67	-0.19	1068	1059
